;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
Felipe Alexandre Cardoso Pazinatto;computação;;tecnologia;management;gestão, papel, sistema, social;papel;projeto;desafios;;campus, digital;management;;;;;paulo;desafios, gestão;caso, desenvolvimento, estudo, estudo caso;;paulo;;;projeto;desenvolvimento, estudo;sistema;;;digital, estudo;;aplicativo, caso, desenvolvimento, digital, federal, federal paulo, instituto, instituto federal, paulo, projeto, social;caso, digital, estudo, gestão, papel, sistema;caso, computadores, desafios, digital, estudo, estudo caso, gestão, paulo, projeto;desafios, expressão;caso;;paulo;estudo, paulo;digital, jogo;caso, digital, estudo, estudo caso, gestão, management, paulo, technology;estudo;campus, digital, paulo;arte, campus, desenvolvimento, projeto;paulo;desafios, desafios gestão, desenvolvimento, estudo, federal, gestão, jogo, jogos, social;;strategic;;caso, digital, estudo, estudo caso;campus, federal, federal paulo, instituto, instituto federal, paulo;;caso, estudo, estudo caso;digital, gestão;desafios, estudo, sistema;;arte, campus, caso, estudo, estudo caso, federal, federal paulo, instituto, instituto federal, management, paulo, sistema;desafios, estudo, gestão;campus;desafios, paulo;caso, federal, federal paulo, instituto, instituto federal, paulo;campus, desafios, desenvolvimento, estudo, federal, gestão, management, manager, paulo, paulo campus, social, tecnologia;caso, paulo;;social;paulo;caso, estratégico, estudo, estudo caso, gestão, management, manager, paulo, role, sistema, strategic, technology, tecnologia;;;desenvolvimento, paulo, sistema;;digital, jogo, jogos;federal, federal paulo, instituto, instituto federal, paulo;;;;aplicativo, caso, computadores, desafios, digital, estudo, estudo caso, gestão, paulo, technology;;;campus;;caso, estudo, estudo caso;;campus;projeto;caso, desenvolvimento, estudo, estudo caso, gestão, papel;;federal, federal paulo, instituto, instituto federal, paulo;;campus, caso, desenvolvimento, digital, estudo, estudo caso, gestão, papel, paulo, projeto, role, sistema, social, technology;digital, estudo, gestão, paulo, projeto
Felipe Rodrigues Martinez Basile;aplicação;;;virtual;brasil, social;construção;cultura, feminino, mundo, projeto, relato;estratégia;;digitais, digital, experiência, formativa, investigação, método, tecnologias, tecnologias digitais;;feminino;percepções;;;paulo;conhecimento;brasil, caso, desenvolvimento, feminino;;aplicação, através, através geração, feminino, feminino através, geração, geração renda, paulo, perspectiva, renda;;;projeto;construção, desenvolvimento, investigação, uso;;;;aplicação, computacional, digital, uso;aplicativo, caso, desenvolvimento, digital, federal, federal paulo, instituto, instituto federal, paulo, projeto, social;;brasil, caso, digital, estratégia;brasil, caso, conhecimento, digital, estratégia, heuristic, paulo, projeto;conhecimento, construção, construção conhecimento, digitais;caso;;paulo;digitais, experiência, paulo, tecnologias, tecnologias digitais, uso, uso tecnologias;digital;application, caso, digital, geração, médicas, network, paulo, tecnologias, uso;municipal;construção, digitais, digital, escrita, mundo, paulo;desenvolvimento, meta, projeto;método, paulo;aplicação, atividades, brasil, construção, desenvolvimento, educación, experiência, federal, geração, método, perspectiva, relato, relato experiência, renda, social;;;;brasil, caso, digitais, digital;federal, federal paulo, instituto, instituto federal, paulo, protocolo;aplicação, cultura, geração;caso, uso;digital, experiência;experiência, tecnologias, uso;;application, brasil, caso, computacional, federal, federal paulo, instituto, instituto federal, paulo, paulo brasil, protocolo;brasil, conhecimento, cultura, uso;construção, experiência, mundo, método, relato, relato experiência;paulo;caso, federal, federal paulo, instituto, instituto federal, paulo;atención, brasil, construção, cultura, desenvolvimento, educación, estudio, federal, municipal, paulo, plataforma, social, uso;assistência, brasil, caso, experiência, paulo;escrita;social;application, paulo;arquitetura, caso, construção, paulo, perspectiva, uso;;;aplicação, desenvolvimento, educación, network, paulo, virtual;;comunicação, comunicação síncrona, conhecimento, conhecimento perspectiva, construção, construção conhecimento, digital, estratégia, estratégia comunicação, experiência, interatividade, interatividade construção, mundo, mundo relato, perspectiva, perspectiva mundo, relato, relato experiência, síncrona, síncrona interatividade, uso;brasil, federal, federal paulo, instituto, instituto federal, paulo;brasil;digitais, digitais relato, escrita, escrita terceira, experiência, idade, idade uso, relato, relato experiência, tecnologias, tecnologias digitais, terceira, terceira idade, uso, uso tecnologias;inclusiva, perspectiva;aplicativo, brasil, caso, digital, estratégia, paulo, perspectiva;virtual;;construção;application;caso;;conhecimento, construção, experiência, relato, relato experiência, uso;aplicação, aplicação projeto, application, através, através geração, computacional, comunicação, comunicação síncrona, conhecimento, conhecimento perspectiva, construção, construção conhecimento, estratégia, estratégia comunicação, experiência, feminino, feminino através, geração, geração renda, interatividade, interatividade construção, mundo, mundo relato, método, network, percepções, percepções aplicação, perspectiva, perspectiva mundo, projeto, projeto feminino, relato, relato experiência, renda, síncrona, síncrona interatividade, uso;aplicação, através, caso, desenvolvimento, perspectiva, renda;experiência;federal, federal paulo, instituto, instituto federal, paulo;;brasil, caso, comunicação, conhecimento, construção, cultura, desenvolvimento, digital, estratégia, estudio, network, paulo, perspectiva, projeto, social, uso, virtual;brasil, conhecimento, digital, estratégia, paulo, projeto
Fernando Cesar Mendonca;análise;;;análise;análise, brasil, ferramenta, gestão, papel, produção, sistema;papel;;análise, estratégia;;digital, produção;revisão;;;;;;análise, gestão;análise, brasil, caso, curso, estudo, revisão;;estoque;;;análise;análise, estudo;sistema, utilizando;;;digital, estudo, utilizando;caso, digital, estudo, gestão, papel, sistema;brasil, caso, digital, estratégia;;acessibilidade, acessibilidade legislação, aérea, bank, brasil, brasil estudo, caso, companhia, companhia aérea, conflitos, conflitos operacionais, consolidação, consolidação marca, cptm, digital, digital estratégia, documentos, documentos importância, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, importância, importância gerenciamento, legislação, legislação brasil, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, overbooking, overbooking gestão, projetos;;caso;;companhia;curso, engenharia, estudo, utilizando;digital, utilizando;análise, caso, comercial, digital, estudo, gestão, lean, metodologia;estudo;digital;análise, produção;revisão;análise, brasil, estudo, ferramentas, gestão, metodologia, projetos, revisão, utilizando;;;;brasil, caso, digital, estudo;análise, utilizando;produção, utilizando;caso, estudo;digital, gestão, serviços;aquisições, aquisições setor, bancário, bancário estudo, crise, crise sistema, década, década marcada, estudo, estudo eventos, eventos, eventos década, financeiro, financeiro internacional, fusões, fusões aquisições, internacional, marcada, marcada crise, produção, setor, setor bancário, sistema, sistema financeiro;;análise, brasil, caso, estudo, revisão, setor, sistema, utilizando;análise, bibliográfica, brasil, estudo, ferramenta, gestão, importância, projetos, revisão, revisão bibliográfica, riscos, serviços;curso;;caso;brasil, curso, engenharia, estudo, ferramentas, gestão, utilizando;brasil, caso, serviços;;;;caso, documentos, empresa, estudo, gestão, produção, revisão, sistema, utilizando;;;análise, ferramentas, sistema;;digital, estratégia, revisão, utilizando;brasil, setor;brasil, produção;;análise;acessibilidade, acessibilidade legislação, aérea, bank, brasil, brasil estudo, caso, companhia, companhia aérea, conflitos, conflitos operacionais, consolidação, consolidação marca, cptm, digital, digital estratégia, documentos, documentos importância, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, importância, importância gerenciamento, legislação, legislação brasil, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, overbooking, overbooking gestão, projetos;;;curso;;caso, curso, estudo;;análise, curso, produção;estratégia;caso, estoque, estudo, ferramenta, ferramentas, gestão, papel, ramo, setor, utilizando;década;;utilizando;acessibilidade, acessibilidade legislação, análise, aérea, bank, brasil, brasil estudo, caso, comercial, companhia, companhia aérea, conflitos, conflitos operacionais, consolidação, consolidação marca, cptm, digital, digital estratégia, empresa, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gestão, gestão conflitos, legislação, legislação brasil, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, overbooking, overbooking gestão, papel, principais, projetos, serviços, sistema;acessibilidade, acessibilidade legislação, análise, aérea, bank, brasil, brasil estudo, companhia, companhia aérea, conflitos, conflitos operacionais, consolidação, consolidação marca, cptm, digital, digital estratégia, documentos, documentos importância, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, importância, importância gerenciamento, legislação, legislação brasil, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, overbooking, overbooking gestão, principais, projetos, transporte
Fernando Luis Rossi;;;história;algorithm, evaluation, scheduling;brasil, gestão;;cidade, políticas, políticas públicas, projeto, públicas;desafios, estratégia;públicas;digital, high, perspective;;;;;;evaluation, new, paulo;conhecimento, desafios, gestão;brasil, caso, estudo, estudo caso, perspectivas, políticas;performance;controle, paulo;;evaluation;projeto;estudo;;;;digital, estudo;caso, computadores, desafios, digital, estudo, estudo caso, gestão, paulo, projeto;brasil, caso, conhecimento, digital, estratégia, heuristic, paulo, projeto;acessibilidade, acessibilidade legislação, aérea, bank, brasil, brasil estudo, caso, companhia, companhia aérea, conflitos, conflitos operacionais, consolidação, consolidação marca, cptm, digital, digital estratégia, documentos, documentos importância, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, importância, importância gerenciamento, legislação, legislação brasil, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, overbooking, overbooking gestão, projetos;;conhecimento, desafios, perspectivas;caso;;companhia, paulo;estudo, paulo, políticas, políticas públicas, públicas;digital;caso, digital, estudo, estudo caso, gestão, implantação, paulo, performance;estudo;digital, paulo, perspectivas;projeto;paulo, review;brasil, desafios, economia, estudo, ferramentas, gestão, políticas, políticas públicas, projetos, públicas;;;;brasil, caso, digital, estudo, estudo caso;cidade, cidade paulo, cidades, paulo;;caso, estudo, estudo caso;controle, digital, gestão;cidades, desafios, estudo;evaluation, performance;brasil, caso, cidade, cidade paulo, cidades, estudo, estudo caso, paulo;brasil, cidade, cidades, conhecimento, desafios, estudo, gestão, importância, operações, projetos, resiliência;história;cidade, cidade paulo, desafios, paulo;caso, paulo;brasil, desafios, estudo, ferramentas, gestão, high, high performance, logística, method, paulo, performance, perspective;brasil, caso, paulo;;perspective;high, paulo;caso, cidade, controle, documentos, estudo, estudo caso, gestão, implantação, logística, logística reversa, new, paulo, perspectivas, reversa, shop;;;ferramentas, paulo;;conhecimento, digital, estratégia;brasil, cidade, cidade paulo, história, paulo, políticas, políticas públicas, públicas;brasil, políticas;;;acessibilidade, acessibilidade legislação, aumentando, aumentando resiliência, aérea, bank, brasil, brasil estudo, caso, caso centro, centro, centro recondicionamento, cidade, cidade paulo, cidades, cidades aumentando, circular, circular brasil, circular conceitos, circular políticas, companhia, companhia aérea, computadores, computadores economia, conceitos, conceitos perspectivas, conflitos, conflitos operacionais, consolidação, consolidação marca, contemporânea, controle, controle operações, cptm, desafios, desafios economia, digital, digital estratégia, documentos, documentos importância, economia, economia circular, energético, energético cidades, estratégia, estratégia consolidação, estudo, estudo bank, estudo caso, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, importância, importância gerenciamento, legislação, legislação brasil, legislação desafios, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, operações, overbooking, overbooking gestão, paulo, perspectivas, perspectivas sociedade, políticas, políticas públicas, projetos, públicas, públicas legislação, recondicionamento, recondicionamento computadores, resiliência, resiliência controle, risco, risco energético, sociedade, sociedade contemporânea;;review;;method, performance;caso, estudo, estudo caso;políticas, políticas públicas, públicas;conhecimento;conhecimento, estratégia, method, problem, projeto;caso, estudo, estudo caso, ferramentas, gestão;história, perspectivas;paulo;;acessibilidade, acessibilidade legislação, aérea, bank, brasil, brasil estudo, caso, catando, catando histórias, centro, centro distribuição, cidade, cidade paulo, cidades, companhia, companhia aérea, conflitos, conflitos operacionais, conhecimento, conhecimento logística, consolidação, consolidação marca, controle, cptm, digital, digital estratégia, distribuição, distribuição estudo, estratégia, estratégia consolidação, estudo, estudo bank, estudo caso, estudo cptm, evaluation, facility, facility centro, ferramentas, ferramentas marketing, gestão, gestão conflitos, gestão facility, história, história cidade, histórias, histórias integrando, implantação, implantação gestão, integrando, integrando conhecimento, legislação, legislação brasil, logística, logística reversa, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, operações, overbooking, overbooking gestão, paulo, perspective, políticas, projeto, projeto catando, projetos, reversa, reversa história;acessibilidade, acessibilidade legislação, aumentando, aumentando resiliência, aérea, aérea projeto, bank, bank gestão, brasil, brasil estudo, catando, catando histórias, cidade, cidade paulo, cidades, cidades aumentando, companhia, companhia aérea, conflitos, conflitos operacionais, conhecimento, conhecimento logística, consolidação, consolidação marca, controle, controle operações, cptm, digital, digital estratégia, documentos, documentos importância, energético, energético cidades, estratégia, estratégia consolidação, estudo, estudo bank, estudo cptm, ferramentas, ferramentas marketing, gerenciamento, gerenciamento projetos, gestão, gestão conflitos, gestão documentos, história, história cidade, histórias, histórias integrando, importância, importância gerenciamento, integrando, integrando conhecimento, legislação, legislação brasil, logística, logística reversa, marca, marca estudo, marketing, marketing digital, operacionais, operacionais companhia, operações, overbooking, overbooking gestão, paulo, paulo risco, perspectivas, projeto, projeto catando, projetos, resiliência, resiliência controle, reversa, reversa história, risco, risco energético
Fernando da Silva Pardo;ambientes, sociais;;ensino;ensino;;construção;música, pública, sociais;desafios, pedagógicas;ensino, reflexões;cenário, digitais, ensino, escola, professor, práticas, reflexões;ambientes, aprendizagem, literatura;atual;línguas;;;;conhecimento, desafios, literatura, práticas;literatura, perspectivas, práticas;;;reflexões;;escola;aprendizagem, construção, ensino, ensino aprendizagem;;;ensino;aprendizagem, ensino, sociais;desafios, expressão;conhecimento, construção, construção conhecimento, digitais;;conhecimento, desafios, perspectivas;;;ensino;;aplicada, digitais, ensino;inglês, língua;;aprendizagem, escola;construção, digitais, ensino, ensino inglês, implicações, inglês, literatura, língua, perspectivas, professor, práticas, sociais;aprendizagem, ensino;literatura;ano, aplicada, construção, desafios, discursos, ensino, literatura, práticas, pública;;;literatura;aplicada, aprendizagem, digitais, escola, inglesa, linguística, linguística aplicada, pesquisas, sociais;alunos;;cenário;;desafios;;alunos, ano, ensino, literatura;conhecimento, desafios, literatura, sociais;adaptação, construção, ensino, inglesa, inglês, literatura, língua, língua inglesa;desafios, ensino, práticas;ensino;aplicada, construção, desafios, público;;;;;construção, literatura, perspectivas;;literatura;aprendizagem;;conhecimento, construção, construção conhecimento, ensino, ensino línguas, inglês, literatura, língua, línguas;ensino, implicações, professor, reflexões;ensino;aplicada, digitais, linguística, linguística aplicada;alunos, ensino, professor, práticas, reflexões;cenário, desafios, perspectivas, sociais;;;construção;;;;adaptação, conhecimento, construção, ensino, inglesa, inglês, língua, língua inglesa;conhecimento, construção, construção conhecimento;pública;perspectivas;literatura, reflexões;;ano, conhecimento, construção, sociais;conhecimento, perspectivas, público
Filipe Mantovani Ferreira;;;;;;;;;;;;;;;;;;caso;;;;;;;;;;;caso;caso;caso;caso;;;;;;;caso;;;;;;;;;caso;;;caso;;;;caso;;;;caso;;caso;;;;caso;;;;;;;debate;;;caso;;;;;caso;;;;caso;;;;caso;
Flávia Roberta Torezin;;;ensino;ensino;interesse;;;;ensino;ensino, formação, professores;;brasileiro;;;;conceito;;;;;;;;ensino, formação, professores;;;ensino;ensino;;;;;ensino;;;;ensino, formação, formação professores, professores;;brasileiro;;ensino, formação;ensino;;ensino, formação, formação professores, professores;;;;brasileiro;;;;;conceito;;ensino;formação;ensino, formação, formação professores, professores;ensino;ensino, formação;brasileiro;;;;;;;;;;ensino;ensino;brasileiro, ensino, formação;;ensino, professores;;;;;;;;ensino;;brasileiro;;;;conceito;formação
Hadassa Viviane Rodrigues;meio;leitura;;;;;;;;;;;;;;paulo;;;;paulo;;;;;;;;;paulo;paulo;companhia;companhia, paulo;;;;;paulo;;paulo;;leitura, paulo;;paulo;biblioteca, leitura, meio;;;;meio;paulo;;;;;;paulo;;letras;paulo;paulo;paulo;paulo;;;paulo;paulo;;;meio, paulo;;;paulo;;;;companhia, paulo;;;;;;;;;incentivo;;letras, paulo;;companhia, meio, paulo;companhia, paulo
Idalise Bernardo Bagé;;;ensino, matemática;ensino;educacional;;políticas, políticas públicas, públicas;;ensino, públicas;avaliação, contexto, digitais, docentes, ensino, experiência, experiência programa, formação, matemática, olhar, professores, programa, tecnologias, tecnologias digitais;;;educacional;;;paulo;;avaliação, curso, estudo, políticas, proposta;;paulo;;;olhar, proposta;ensino, estudo, formação, função, funções, ingressantes, matemática, professores, professores matemática, uso, área;utilizando;;ensino, matemática;educacional, ensino, estudo, uso, utilizando;estudo, paulo;digitais, experiência, paulo, tecnologias, tecnologias digitais, uso, uso tecnologias;curso, engenharia, estudo, utilizando;estudo, paulo, políticas, políticas públicas, públicas;aplicada, digitais, ensino;;ensino, formação, formação professores, professores;paulo;;utilizando;educacional, estudo, paulo, programa, tecnologias, uso, área;estudo;digitais, ensino, formação, paulo;ensino, programa;paulo;aplicada, educacional, ensino, estudo, experiência, formação, formação professores, políticas, políticas públicas, professores, públicas, sustentabilidade, utilizando;;;;aplicada, contexto, digitais, estudo, proposta;paulo, utilizando;utilizando;contexto, estudo, uso;experiência;estudo, experiência, tecnologias, uso;;avaliação, educacional, ensino, estudo, paulo, utilizando;avaliação, empresas, estudo, formação, uso;curso, ensino, experiência, formação, formação professores, professores;docentes, ensino, paulo;ensino, formação, paulo, proposta;aplicada, avaliação, curso, engenharia, estudo, paulo, uso, utilizando;experiência, paulo;;;avaliação, paulo;estudo, paulo, proposta, sustentabilidade, uso, utilizando;;;paulo;;ensino, experiência, uso, utilizando;ensino, paulo, políticas, políticas públicas, públicas;ensino, formação, políticas;aplicada, digitais, experiência, tecnologias, tecnologias digitais, uso, uso tecnologias;contexto, distância, distância olhar, ensino, matemática, olhar, professores, professores matemática;estudo, paulo, políticas, políticas públicas, proposta, públicas;;;curso;;curso, estudo;políticas, políticas públicas, públicas;currículo, curso, ensino, experiência, uso, área;experiência, uso;empresas, estudo, utilizando;distância, experiência;olhar, paulo;utilizando;avaliação, contexto, estudo, paulo, políticas, proposta, uso;estudo, formação, paulo
Igor Calebe Zadi;aprendizado;;;;;;;;;complex, digital, pedagógica;;pensamento;complexo;;;;;;;;;;;;auxiliar, utilizando;;;digital, utilizando;digital, jogo;digital;digital, utilizando;digital;inglês, língua;;;;utilizando;;abordagem, digital;;abordagem, digital, inglês, língua;;;jogo, utilizando;;;;digital;utilizando;utilizando;;digital;;;utilizando;;inglês, língua, world;;;utilizando;;;;;abordagem, utilizando;;;aprendizado;;abordagem, abordagem pedagógica, aprender, aprender inglés, aprendizado, aprendizado inglês, auxiliar, auxiliar aprendizado, complejo, complex, complex world, complexo, digital, digital aprender, inglés, inglés segunda, inglês, inglês segunda, jogo, jogo auxiliar, juego, juego digital, lengua, lengua utilizando, língua, língua utilizando, pedagógica, pedagógica pensamento, pensamento, pensamento complexo, pensamiento, pensamiento complejo, segunda, segunda lengua, segunda língua, utilizando, utilizando abordagem, utilizando pensamiento, world, world jogo;;;;;digital;;;;;;;inglês, língua;;utilizando;;;utilizando;digital;digital
Igor Polezi Munhoz;análise, desempenho;;;análise, management;análise, educacional, gestão;;;análise;impactos;brazilian, digital, programa, tecnologias;management;brasileiro;educacional;;analysis, prediction;assessment, brazilian, paulo;análise, gestão, impactos, trabalho;análise, caso, estudo, estudo caso, organizacional, vida;performance, research, science;geração, paulo;;investment, study;análise, satisfação;análise, estudo, processos, uso, área;analysis, brazilian, processos, scenario, study;;;analysis, brazilian, digital, educacional, estudo, informações, proteção, uso;caso, digital, estudo, estudo caso, gestão, management, paulo, technology;application, caso, digital, geração, médicas, network, paulo, tecnologias, uso;análise, caso, comercial, digital, estudo, gestão, lean, metodologia;caso, digital, estudo, estudo caso, gestão, implantação, paulo, performance;;caso;brasileiro;paulo;educacional, estudo, paulo, programa, tecnologias, uso, área;abordagem, digital;;desempenho, estudo;abordagem, digital, education, paulo;análise, programa, vida;assessing, case, energy, mapping, paulo, sustainable;análise, desempenho, educacional, education, estudo, geração, gestores, gestão, metodologia, processos, relação, sustainability, trabalho, universidade;diferenças, indústria;company;;brasileiro, caso, digital, estudo, estudo caso;análise, paulo;energy, geração, processos;caso, estudo, estudo caso, proteção, uso;digital, gestão, relação;estudo, tecnologias, uso;influence, performance;analysis, análise, application, assessment, brazilian, case, case study, caso, educacional, estudo, estudo caso, informações, management, paulo, study, study brazilian;análise, estudo, gestão, impactos, organizacional, processos, relação, uso;;paulo;caso, paulo;agronegócio, applied, brasileiro, brazilian, case, company, education, estudo, gestão, importance, individual, indústria, innovation, inovação, management, market, patentes, paulo, performance, performance company, policy, relação, small, study, trabalho, universidade, uso;caso, inovação, paulo;;;application, paulo, study;abordagem, caso, eletrônica, estudo, estudo caso, gestão, implantação, industry, industry technology, indústria, management, manufacturing, paulo, qualidade, sustainability, technology, trabalho, uso;analysis, energy;;análise, market, network, paulo, study;;abordagem, digital, uso;paulo, trabalho;brasileiro, impactos, indústria, trabalho;tecnologias, uso;análise, vida;case, caso, digital, estudo, estudo caso, gestão, impactos, influence, operacionalização, paulo, technology;;study;;analysis, application, influence, performance;caso, estudo, estudo caso, operacionalização;;análise, uso, área;application, applied, case, cognitive, development, geração, network, proteção, research, scenario, study, uso;agronegócio, analysis, brasileiro, case, case study, caso, enterprise, estudo, estudo caso, gestão, inovação, qualidade, study, trabalho;indústria;paulo, trabalho;;análise, assessing, case, case study, caso, comercial, company, digital, estudo, estudo caso, gestão, green, impactos, implantação, influence, inovação, network, operacionalização, organizacional, paulo, policy, qualidade, relação, study, technology, uso;análise, digital, estudo, gestão, indústria, paulo, relação
Ingrid Anelise Lopes;desempenho;;;;;;;;estudantes;deficiência, escola, estudantes;aprendizagem;;;;;;;estudantes, estudo;;;;;escola;aprendizagem, estudo;;;;aprendizagem, estudo;estudo;municipal;estudo;estudo;aprendizagem, escola;;;;estudo;;desempenho, estudo;;escolar;aprendizagem, estudantes;;considerações, desempenho, estudantes, estudo;;;;aprendizagem, escola, estudo;;;estudo;;estudo;;considerações, estudo;estudo;;escolar;considerações, escolar;escolar, estudo, municipal;;;;;estudo;;;aprendizagem, escolar;;;escolar;;;escolar;estudo;;;;;estudo;;;;estudo;;;;estudo;estudo
Irando Alves Martins Neto;sociais;leitura;ensino;ensino;;construção;ifsp, livro, mundo, sociais;;ensino, escolarização;campus, culturais, didático, digitais, digital, ensino, formação, livro, livro didático, professor, práticas;literatura;crítico, letramento;;;;ifsp, paulo;literatura, práticas;literatura, perspectivas, práticas;;ifsp, paulo;;;;construção, ensino, formação;;;ensino;digital, ensino, sociais;campus, digital, paulo;construção, digitais, digital, escrita, mundo, paulo;digital;digital, paulo, perspectivas;construção, digitais, ensino, ensino inglês, implicações, inglês, literatura, língua, perspectivas, professor, práticas, sociais;;ensino, formação;leitura, paulo;digitais, ensino, formação, paulo;abordagem, digital, inglês, língua;abordagem, digital, education, paulo;escolar;;campus, didático, ensino;literatura, paulo;construção, crítica, education, ensino, estudos, formação, leitura, literatura, práticas;;;literatura;crítica, digitais, digital, sociais;campus, ifsp, paulo;;;digital;;;campus, ensino, ifsp, literatura, paulo;crítica, formação, letramento, literatura, sociais;campus, construção, ensino, formação, ifsp, ifsp campus, inglês, literatura, língua, mundo;ensino, escolar, paulo, práticas;ensino, escolar, formação, paulo;campus, construção, education, escolar, ifsp, paulo;paulo;escrita;woman;ifsp, paulo;abordagem, construção, literatura, paulo, perspectivas;;literatura;escolar, paulo;;abordagem, construção, digital, ensino, inglês, literatura, língua, mundo;ensino, escolar, implicações, paulo, professor;culturais, ensino, formação;digitais, escrita;ensino, escolar, professor, práticas;digital, paulo, perspectivas, sociais;;;campus, construção, ifsp;;;;campus, construção, didáticos, ensino, ifsp, ifsp campus, inglês, livros, livros didáticos, língua;construção, mundo;southern;perspectivas, século;literatura, paulo;;campus, construção, digital, ifsp, ifsp campus, literacy, paulo, sociais;digital, formação, ifsp, paulo, perspectivas
